#YYYYMMDD,hour,TDays,Precip_mm_Value,PressureSeaLevel,Temp,HumidityRelative,Clouds8th,WindDirection,WindSpeed_ms
*
19900126,7,25.29166667,4.5,963,0.200000003,84,8,40,8.699999809
19900126,13,25.54166667,,965.7000122,0.699999988,78,8,40,6.699999809
19900126,19,25.79166667,1.7,972.9000244,0.899999976,65,8,40,5.099999905
19900127,7,26.29166667,0.2,986.2999878,-2.5,67,8,60,1.5
19900127,13,26.54166667,,990.2999878,-1.799999952,72,8,70,1
19900127,19,26.79166667,0,995,-1.299999952,76,8,250,1
19900128,7,27.29166667,0,997.7999878,-1.299999952,90,8,50,2.599999905
19900128,13,27.54166667,,993.5,1.100000024,82,8,80,5.099999905
19900128,19,27.79166667,12,981.2000122,1.200000048,90,8,80,4.599999905
19900129,7,28.29166667,9.9,982.0999756,1.100000024,86,2,270,1.5
19900129,13,28.54166667,,989.2000122,2.099999905,73,2,210,2.099999905
19900129,19,28.79166667,0,995.7000122,-0.899999976,90,6,50,1.5
19900130,7,29.29166667,5.4,995.7000122,3.799999952,96,8,180,3.599999905
19900130,13,29.54166667,,996.2999878,3.299999952,81,8,190,3.599999905
19900130,19,29.79166667,3.6,995.7000122,2.099999905,90,8,150,1.5
19900131,7,30.29166667,5.7,994.5999756,5,97,8,160,2.599999905
19900131,13,30.54166667,,993.5,5.599999905,89,8,180,6.699999809
19900131,19,30.79166667,9,992,6.099999905,92,8,180,4.599999905
19900201,7,31.29166667,5.2,992.5999756,5.5,90,7,190,3.599999905
19900201,13,31.54166667,,995.7000122,5.900000095,86,7,190,4.099999905
19900201,19,31.79166667,1,998.7000122,6,84,7,200,3.099999905
19900202,7,32.29166667,1.5,998.2000122,5.800000191,85,8,170,3.599999905
19900202,13,32.54166667,,995.2999878,5.599999905,72,8,170,7.199999809
19900202,19,32.79166667,5.7,993,4.900000095,90,5,190,4.099999905
19900203,7,33.29166667,0,995.7000122,3.200000048,86,7,190,3.599999905
19900203,13,33.54166667,,995.9000244,5.599999905,70,6,210,3.599999905
19900203,19,33.79166667,0,998.4000244,4.800000191,85,5,220,4.099999905
19900204,7,34.29166667,2.5,1002.799988,2.799999952,96,5,210,0.5
19900204,13,34.54166667,,1007.599976,4.199999809,60,1,230,2.599999905
19900204,19,34.79166667,0.4,1005.099976,5.400000095,90,8,190,5.099999905
19900205,7,35.29166667,0,1002,6.699999809,92,8,200,2.099999905
19900205,13,35.54166667,,1003.400024,8.300000191,70,8,210,6.699999809
19900205,19,35.79166667,0,1005.700012,6.900000095,88,7,200,5.099999905
19900206,7,36.29166667,0,1008.099976,6.400000095,89,7,200,4.099999905
